,jogo,publico,critica,gap
0,elden-ring,84,96,12
1,bloodborne,89,92,3
2,sekiro-shadows-die-twice,86,90,4
3,monster-hunter-world,78,90,12
4,monster-hunter-rise,83,88,5
5,lies-of-p,83,80,3
6,nioh,81,88,7
7,nioh-2,79,85,6
8,wo-long-fallen-dynasty,67,80,13
9,the-surge,66,73,7
10,the-surge-2,70,75,5
11,mortal-shell,62,76,14
12,lords-of-the-fallen,68,75,7
13,salt-and-sanctuary,78,84,6
14,blasphemous,80,77,3
15,blasphemous-2,82,84,2
16,hollow-knight,90,90,0
17,tunic,79,85,6
18,remnant-from-the-ashes,68,78,10
19,remnant-ii,72,80,8
20,wild-hearts,66,79,13
21,dragons-dogma-2,65,86,21
22,code-vein,75,70,5
23,another-crabs-treasure,75,78,3
24,enotria-the-last-song,61,69,8
25,black-myth-wukong,82,81,1
26,sifu,79,81,2
27,thymesia,64,69,5
28,subnautica,86,87,1
29,the-forgotten-city,81,85,4
30,firewatch,74,81,7
31,returnal,74,86,12
32,deathloop,68,88,20
33,sable,61,76,15
34,return-of-the-obra-dinn,87,89,2
35,chants-of-sennaar,85,86,1
36,the-witness,73,87,14
37,the-talos-principle,85,85,0
38,the-talos-principle-2,84,88,4
39,no-mans-sky,56,71,15
40,citizen-sleeper,75,82,7
41,soma,84,84,0
42,pacific-drive,63,79,16
43,doom-eternal,85,88,3
44,dusk,83,88,5
45,turbo-overkill,79,86,7
46,amid-evil,76,85,9
47,ghostrunner,78,81,3
48,ghostrunner-2,76,80,4
49,metal-hellsinger,75,79,4
50,bpm-bullets-per-minute,71,74,3
51,post-void,77,76,1
52,cruelty-squad,87,89,2
53,prodeus,76,84,8
54,ion-fury,70,79,9
55,shadow-warrior-2,78,78,0
56,titanfall-2,85,89,4
57,severed-steel,73,73,0
58,roboquest,86,85,1
59,overwatch-2,20,79,59
60,paladins,64,74,10
61,valorant,47,80,33
62,apex-legends,66,89,23
63,team-fortress-2,86,92,6
64,gundam-evolution,50,72,22
65,gigantic-rampage-edition,49,65,16
66,bleeding-edge,63,66,3
67,smite,68,80,12
68,devil-may-cry-5,80,87,7
69,bayonetta-3,78,86,8
70,metal-gear-rising-revengeance,83,80,3
71,hades,85,93,8
72,hades-ii,86,95,9
73,dead-cells,83,89,6
74,nier-automata,88,88,0
75,astral-chain,90,87,3
76,vanquish,76,84,8
77,hi-fi-rush,88,87,1
78,darkest-dungeon,79,84,5
79,darkest-dungeon-ii,62,81,19
80,rain-world,85,59,26
81,pathologic-2,86,70,16
82,stalker-2-heart-of-chornobyl,76,73,3
83,metro-exodus,74,82,8
84,grim-dawn,84,83,1
85,armored-core-vi-fires-of-rubicon,81,86,5
86,katana-zero,85,83,2
87,hotline-miami,85,85,0
88,enter-the-gungeon,78,82,4
89,risk-of-rain-2,83,85,2
90,granblue-fantasy-relink,81,80,1
91,god-eater-3,72,71,1
92,toukiden-2,74,77,3
93,dauntless,53,78,25
94,hellblade-senuas-sacrifice,77,81,4
95,scorn,65,70,5
96,exoprimal,54,67,13
97,warframe,72,64,8
98,destiny-2,52,85,33
99,shadow-of-the-colossus,79,91,12
100,dragons-dogma-dark-arisen,79,81,2
